dataset,model,mean_mse,std_mse
ecg,HELIOS-SPECTRUM,0.041126345518511215,0.0014748305491561983
ecg,FFT_ML_Baseline,0.0573628805577755,0.0
ecg,ARIMA,0.06195191100239753,6.938893903907228e-18
ecg,CNN,0.0472952973462879,0.0016960551315296278
seismic,HELIOS-SPECTRUM,0.3311264623663292,0.00449277147631965
seismic,FFT_ML_Baseline,0.9051162600517273,0.0
seismic,ARIMA,0.9775255608558654,1.1102230246251565e-16
seismic,CNN,0.3807954317212785,0.005166687197767583
financial,HELIOS-SPECTRUM,0.6512486422007265,0.05664138871134016
financial,FFT_ML_Baseline,4.5339274406433105,0.0
financial,ARIMA,4.896641635894776,0.0
financial,CNN,0.7489359385308355,0.06513759701804119
audio,HELIOS-SPECTRUM,0.24792828137266731,0.029801159933891232
audio,FFT_ML_Baseline,0.7866718173027039,0.0
audio,ARIMA,0.8496055626869202,0.0
audio,CNN,0.2851175235785674,0.034271333923974905
