code,snr_db,ber
hamming74,0.0,0.35631175925326597
hamming1511,0.0,0.22587235588913823
convolutional_viterbi,0.0,0.004550026389635839
reed_solomon_like,0.0,0.05918089265946433
ldpc_bitflip,0.0,0.0018200105558543356
turbo_simplified,0.0,0.002853009096500413
neural_autoencoder,0.0,0.0038166014742917376
hamming74,1.0,0.28792272156933557
hamming1511,1.0,0.1741998850934322
convolutional_viterbi,1.0,0.002483002670822016
reed_solomon_like,1.0,0.04607838600830616
ldpc_bitflip,1.0,0.0009932010683288066
turbo_simplified,1.0,0.0011331277260423346
neural_autoencoder,1.0,0.0016844032298697386
hamming74,2.0,0.22293947711456874
hamming1511,2.0,0.12735031535204322
convolutional_viterbi,2.0,0.001180733173731052
reed_solomon_like,2.0,0.034083634197723756
ldpc_bitflip,2.0,0.00047229326949242077
turbo_simplified,2.0,0.00036206342932965454
neural_autoencoder,2.0,0.0006142070409581504
hamming74,3.0,0.16378318106707623
hamming1511,3.0,0.08714243316537666
convolutional_viterbi,3.0,0.0004726953702187951
reed_solomon_like,3.0,0.023663784887463138
ldpc_bitflip,3.0,0.00018907814808751805
turbo_simplified,3.0,8.807083003678148e-05
neural_autoencoder,3.0,0.00017632259562360363
hamming74,4.0,0.11275511858405379
hamming1511,4.0,0.054933607758481745
convolutional_viterbi,4.0,0.00015255104341904113
reed_solomon_like,4.0,0.015188865636772433
ldpc_bitflip,4.0,6.102041736761645e-05
turbo_simplified,4.0,1.5212000539917426e-05
neural_autoencoder,4.0,3.7496233748938365e-05
hamming74,5.0,0.07161758551732589
hamming1511,5.0,0.03127129414960463
convolutional_viterbi,5.0,3.75744381216166e-05
reed_solomon_like,5.0,0.008842680355743354
ldpc_bitflip,5.0,1.5029775248646638e-05
turbo_simplified,5.0,1.7090104584208056e-06
neural_autoencoder,5.0,5.470579120606561e-06
hamming74,6.0,0.04115333024975003
hamming1511,6.0,0.015675577681690048
convolutional_viterbi,6.0,6.592730198367029e-06
reed_solomon_like,6.0,0.004558568395486461
ldpc_bitflip,6.0,2.637092079346811e-06
turbo_simplified,6.0,1.1181427054200426e-07
neural_autoencoder,6.0,4.971144739675398e-07
